ResponseId,conversation_id,survey_time,conv_time,time_diff_seconds,time_diff_minutes,time_diff_hours,UserID,MatchMethod,match_confidence
R_8eFvjN6kbfuGmwz,6748609d-6294-8007-8fbf-e4d175374104,1732760700.0,1732796573.54373,35873.54373002052,597.8923955003421,9.964873258339034,28112024_0225_Generated,OptimalTimestamp,90.03512674166096
R_8Dbxi4w1mbXIcN0,674860b4-2380-8008-afed-44c8bea888d2,1732760700.0,1732796596.292043,35896.29204297066,598.2715340495109,9.971192234158515,28112024_0225_Generated,OptimalTimestamp,90.02880776584149
R_8Wai7DpJtvLPrNf,674860f8-0e94-8010-89d3-593f9d906f5f,1732760700.0,1732796664.253437,35964.253437042236,599.4042239507039,9.990070399178398,28112024_0225_Generated,OptimalTimestamp,90.00992960082161
R_2EsdNhwmGwStrCA,67486110-e1e0-8012-a588-e06edc3812fd,1732760700.0,1732796689.141545,35989.1415450573,599.8190257509549,9.996983762515915,28112024_0225_Generated,OptimalTimestamp,90.00301623748409
R_8qkylSKLZxexxeN,6748612d-c46c-8008-9a1e-0269d57a4fb1,1732760700.0,1732796717.980413,36017.98041296005,600.2996735493342,10.00499455915557,28112024_0225_Generated,OptimalTimestamp,89.99500544084444
R_8qCzIIjxOTtrWA4,6748614a-0b18-800c-bf63-bc944421acf4,1732760700.0,1732796746.240263,36046.24026298523,600.7706710497538,10.012844517495896,28112024_0225_Generated,OptimalTimestamp,89.98715548250411
R_8kmEQqPKqtEcKgj,67486167-eb50-8012-87b0-b6efa6917ac2,1732760700.0,1732796776.20983,36076.2098300457,601.270163834095,10.021169397234917,28112024_0225_Generated,OptimalTimestamp,89.97883060276509
R_8ea29M7H225WKEs,674861b0-3b10-8007-b71d-5cc92f8a90f9,1732760700.0,1732796848.452823,36148.45282292366,602.4742137153943,10.041236895256572,28112024_0225_Generated,OptimalTimestamp,89.95876310474343
R_8IhOeYeqrVgfCVl,67486246-f4a4-8008-b99e-4ba7578e3710,1732762620.0,1732796999.252502,34379.25250196457,572.9875416994095,9.549792361656825,28112024_0257_Generated,OptimalTimestamp,90.45020763834317
R_8LrB4g4Fpe3OUFz,67486288-3f38-8013-bd0c-101cc1692241,1732762620.0,1732797064.548313,34444.54831290245,574.0758052150409,9.567930086917347,28112024_0257_Generated,OptimalTimestamp,90.43206991308266
R_8ffOman88fYnoXb,6748628a-b840-8008-9a30-c50cd377cdb2,1732762620.0,1732797067.031479,34447.031478881836,574.1171913146973,9.568619855244954,28112024_0257_Generated,OptimalTimestamp,90.43138014475505
R_28af9XybaRsflvj,67486389-79f8-8005-88b4-ab4922b5cb23,1732762620.0,1732797321.707602,34701.70760202408,578.361793367068,9.639363222784466,28112024_0257_Generated,OptimalTimestamp,90.36063677721553
R_2YrX7B6LLgDiXaH,67486406-1674-8009-8962-1cf4e5beddc6,1732762620.0,1732797446.511191,34826.511190891266,580.4418531815211,9.674030886358684,28112024_0257_Generated,OptimalTimestamp,90.32596911364132
R_2v1mbKKpTkG0Z0Z,674da26a-cec8-8008-85a4-ebe6eeff4476,1732762620.0,1733141099.675861,378479.6758608818,6307.994597681363,105.1332432946894,28112024_0257_Generated,OptimalTimestamp,0.0
R_8i8xRKC1xV0RVTa,674da33b-b034-8012-8dd7-b7cd9fb964e4,1732762620.0,1733141308.003455,378688.00345492363,6311.466724248728,105.19111207081212,28112024_0257_Generated,OptimalTimestamp,0.0
