participant_number,ResponseId,has_conversation,conversation_id,UserID,MatchMethod,data_status,treatment,testscore,MessageCount,ConversationDurationMinutes,Session,start_time_unix
174,R_2z6LN6REC1XoOel,True,674f017c-4e30-8008-a233-64ac198ef8c7,Generated_03122024_1402,PromptData,Recovered from promptdata,AI-assisted,7.0,16.0,10.589021599292757,Unknown Session,1733212380.0
175,R_8CHL4ajGlLr9VB1,True,674f3477-b710-8005-adb3-8f50050a247a,Generated_03122024_1740,PromptData,Recovered from promptdata,AI-assisted,11.0,21.0,16.90845816532771,Unknown Session,1733216880.0
176,R_8LQpYh0yLIx9SzT,True,674f0cbd-e4a0-8001-a29a-617d28694669,,RecoveredData,Recovered,AI-assisted,7.0,0.0,0.0,Unknown Session,1733221500.0
177,R_83HfQzqMSZVdykF,False,,,,No conversation data,AI-assisted,4.0,0.0,0.0,,
178,R_82nbJPSNlL5yHPq,True,675040fe-8a4c-8002-bca7-8cda704da262,,Timestamp,Duplicate,AI-assisted,8.0,54.0,0.0,Unknown Session,1733285460.0
179,R_26sOmlaAxuwN1Yd,False,,,,No conversation data,AI-assisted,6.0,0.0,0.0,,
180,R_2FyOZgnmDrfoIqM,False,,,,No conversation data,AI-assisted,11.0,0.0,0.0,,
181,R_8uJMcznGtIASwN5,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
182,R_81AIFSLQHsUCNi3,True,67508665-0278-8008-939e-20c11639e4cf,Generated_04122024_1742,PromptData,Recovered from promptdata,AI-assisted,8.0,10.0,9.092147699991862,Unknown Session,1733303340.0
183,R_2XmiljtIdMrez29,True,67503181-87a0-8007-9e1d-5c2822502713,Generated_04122024_1140,PromptData,Recovered from promptdata,AI-assisted,8.0,10.0,4.732581849892934,Unknown Session,1733307540.0
184,R_2pbDVDiRPmmM0yM,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
185,R_8eRxYskUHt0GRlq,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
186,R_2lDlmVuxpeLOTnU,True,6751da8c-8088-8002-ae6e-56e232820bf5,Generated_05122024_1753,PromptData,Recovered from promptdata,AI-assisted,8.0,16.0,4.934905465443929,Unknown Session,1733390160.0
187,R_8Xocl1OV48ti437,False,,,,No conversation data,AI-guided,10.0,0.0,0.0,,
188,R_2IPE98MlYuzInuN,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
189,R_8NPazZ5Juvbfv68,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
190,R_2OcgbloBG9cmx3q,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
191,R_83Dxvaxsbxce0Jf,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
192,R_802fCB8KoHpSeSF,True,674f353c-c7dc-8010-9a22-460304d7326e,Generated_03122024_1743,PromptData,Recovered from promptdata,AI-assisted,,26.0,16.26488363345464,Unknown Session,1733212380.0
193,R_8fKcljZ60M1sIz7,True,674f00ae-3648-8005-bba1-35a4c549ce40,Generated_03122024_1359,PromptData,Recovered from promptdata,AI-assisted,11.0,10.0,4.698592066764832,Unknown Session,1733216880.0
194,R_2B1b8VD2tv6L8hb,True,674eda35-0a30-8001-8cac-9c56805f22e0,,RecoveredData,Recovered,AI-assisted,10.0,0.0,0.0,Unknown Session,1733221500.0
195,R_8Ja3Mv9TBGX0chc,True,67503dff-2694-800c-82af-3d5806569a6d,,Timestamp,Duplicate,AI-assisted,7.0,45.0,0.0,Unknown Session,1733279220.0
196,R_8RWV8FNbZ21N0oS,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
197,R_8rYhwKJGooHrmXF,True,67506011-3a94-800d-a445-6ae53e3e2dbf,,Timestamp,Duplicate,AI-assisted,9.0,8.0,0.0,Unknown Session,1733290020.0
198,R_8RyeKskCAsHOMF2,False,,,,No conversation data,AI-assisted,4.0,0.0,0.0,,
199,R_2ZIJjjJ1cFe244o,True,6750943f-9ff0-8012-8822-5d7109720cea,,Timestamp,Duplicate,AI-assisted,10.0,52.0,0.0,Unknown Session,1733298960.0
200,R_8v6oO1eP7AcfP4x,True,675074e6-8254-8008-8891-2c00a08c69b5,Generated_04122024_1627,PromptData,Recovered from promptdata,AI-assisted,10.0,24.0,8.666796282927196,Unknown Session,1733303340.0
201,R_8ke2S4kDVBVL1Uh,True,67502e4d-07d8-8007-b411-942a5247cab3,Generated_04122024_1126,PromptData,Recovered from promptdata,AI-assisted,10.0,32.0,12.287073183059691,Unknown Session,1733307540.0
202,R_2s6WOGDSpY7couL,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
203,R_8fl3iGC9GsLsxYU,True,6751c501-851c-8002-8978-5010ee03d753,Generated_05122024_1621,PromptData,Recovered from promptdata,AI-assisted,5.0,29.0,14.514740399519605,Unknown Session,1733390160.0
204,R_2GqfBa8EVb5RwCR,False,,AutoID_EVb5RwCR,,Missing conversation,Control,8.0,0.0,0.0,Session 1,1732762620.0
205,R_8hRQ1S7N9rhY5ev,False,,AutoID_N9rhY5ev,,Missing conversation,AI-guided,7.0,0.0,0.0,Session 1,1732766400.0
206,R_8nVQtW7WN4z0eP0,True,674da645-4518-8001-9cef-a87cd1b4a1f0,Generated_02122024_1321,PromptData,Recovered from promptdata,AI-guided,9.0,29.0,13.466890966892242,Unknown Session,1733112660.0
207,R_8aXdVWeeRPiIY3v,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
208,R_2t69biSprXdI46G,False,,,,No conversation data,AI-guided,6.0,0.0,0.0,,
209,R_8YA0WpVjRHU0I8h,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
210,R_8qy7RxYlFF3gxfk,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
211,R_8mGnGEa2qmKjUI1,True,674f2334-de2c-8010-8670-ff528e101311,Generated_03122024_1626,PromptData,Recovered from promptdata,AI-guided,9.0,44.0,13.011146799723308,Unknown Session,1733212380.0
212,R_22KYHKhhombrM0y,True,674f22cc-b888-8005-ae01-e9b2a0106306,Generated_03122024_1625,PromptData,Recovered from promptdata,AI-guided,4.0,18.0,6.859514164924621,Unknown Session,1733216880.0
213,R_2SvsFuy5fEwcHAt,True,674f413f-b8cc-8001-bfce-65f867969639,Generated_03122024_1834,PromptData,Recovered from promptdata,AI-guided,7.0,2.0,0.008333683013916,Unknown Session,1733221500.0
214,R_2PWnohYBTUt3iOR,True,67502f33-aa70-8009-aca8-dab3b826de2f,,Timestamp,Duplicate,AI-guided,8.0,29.0,0.0,Unknown Session,1733279220.0
215,R_8hYlBcmIWp5Q0iT,False,,,,No conversation data,AI-guided,,0.0,0.0,,
216,R_8SIglk0C2MR2gau,True,675062d1-e0e0-8012-ba15-df793ae65273,,Timestamp,Duplicate,AI-guided,7.0,32.0,0.0,Unknown Session,1733290020.0
217,R_2wmitgmySXv1b04,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
218,R_8JwHZsXCkBsjYip,False,,,,No conversation data,AI-guided,5.0,0.0,0.0,,
219,R_2OHKRo95E2zVTs4,True,6750608d-3fa8-8007-a391-af0f45cc81dd,Generated_04122024_1500,PromptData,Recovered from promptdata,AI-guided,4.0,56.0,14.671609767278037,Unknown Session,1733303400.0
220,R_2nVBzIvM3VBYoNb,True,67508449-da24-8001-8e65-69fc231fc334,,RecoveredData,Recovered,AI-guided,11.0,0.0,0.0,Unknown Session,1733307600.0
221,R_8u9dCJBcJ4GMw93,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
222,R_8CH7n2cpb4EKbOE,True,675040fe-c13c-8008-b921-c98f4888a5c1,Generated_04122024_1246,PromptData,Recovered from promptdata,AI-guided,10.0,34.0,12.185851816336314,Unknown Session,1733385240.0
223,R_8EmZ1fofAc4mDPS,True,6751d99a-e2b0-8007-a026-a3259819ee77,Generated_05122024_1749,PromptData,Recovered from promptdata,AI-guided,10.0,20.0,8.3965034365654,Unknown Session,1733390160.0
224,R_2v1mbKKpTkG0Z0Z,False,,AutoID_pTkG0Z0Z,,Missing conversation,Control,5.0,0.0,0.0,Session 1,1732762620.0
225,R_20CxBqgqJ59Eu3d,True,674860b4-2380-8008-afed-44c8bea888d2,Generated_28112024_1323,PromptData,Recovered from promptdata,AI-guided,6.0,32.0,18.80060335000356,Session 1,1732770000.0
226,R_8074joer8GcAWxD,True,674d880c-90c8-8001-ad79-3208e14e8928,Generated_02122024_1112,PromptData,Recovered from promptdata,AI-guided,11.0,2.0,0.0094479997952779,Unknown Session,1733112720.0
227,R_8RiqfZnBGKUyxyx,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
228,R_8LuL24DXpSIjZoi,True,674f0e3a-b8dc-8012-aa78-aff7a8827b1e,,Timestamp,Complete,AI-guided,9.0,36.0,0.0,Unknown Session,1733199180.0
229,R_2Wok5Mely1KHyYp,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
230,R_871mYYbHmgoE9ss,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
231,R_8bW8fbTSkaXFBzi,True,674f1176-7914-8010-9631-724d2b0fcb56,Generated_03122024_1511,PromptData,Recovered from promptdata,AI-guided,9.0,54.0,12.69006544748942,Unknown Session,1733212380.0
232,R_8F2puAifmePTIbt,True,674eed44-ec0c-8005-877d-d9f1169339b8,Generated_03122024_1236,PromptData,Recovered from promptdata,AI-guided,5.0,144.0,163.63754241863887,Unknown Session,1733216880.0
233,R_2nAH0q3aGvFXIq5,True,674f0355-8900-8001-91af-68750c07f9e5,Generated_03122024_1410,PromptData,Recovered from promptdata,AI-guided,6.0,6.0,0.2535701831181844,Unknown Session,1733221500.0
234,R_87WnAD8rg8txSH8,True,67502ffe-9700-800d-848b-67f2a5e84fb4,,Timestamp,Duplicate,AI-guided,2.0,14.0,0.0,Unknown Session,1733279220.0
235,R_2w15kFEjLswIogs,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
236,R_8EMuOMROJlmr8vj,True,675053e5-19cc-800e-8d5f-eb3994efb5da,,Timestamp,Duplicate,AI-guided,4.0,4.0,0.0,Unknown Session,1733290020.0
237,R_2ZKdahSPPBZUaEa,True,675073f3-583c-8005-82a7-5a83c6d4056c,,Timestamp,Duplicate,AI-guided,9.0,24.0,0.0,Unknown Session,1733294160.0
238,R_2EdCYtLJjEvCFc5,True,67502daf-8470-8008-be19-091cb20753e8,Generated_04122024_1123,PromptData,Recovered from promptdata,AI-guided,,18.0,9.872326731681824,Unknown Session,1733298960.0
239,R_2DF5GhNAPH77QBP,True,675050b1-5354-8007-bf5e-a7de1941bcfe,Generated_04122024_1353,PromptData,Recovered from promptdata,AI-guided,9.0,10.0,10.205300466219583,Unknown Session,1733303400.0
240,R_2V9gkpEfP96hM6Z,True,675073d1-b904-8001-91a8-be0865d0f1de,,RecoveredData,Recovered,AI-guided,7.0,0.0,0.0,Unknown Session,1733307600.0
241,R_8DSZOBU5IVtSADf,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
242,R_2DYa2YELlIKFRGd,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
243,R_2gbZheupiwydWz5,True,6751c578-f8b0-8007-a96c-996f8af0f51c,Generated_05122024_1623,PromptData,Recovered from promptdata,AI-guided,12.0,38.0,15.28928386370341,Unknown Session,1733390160.0
244,R_8Dx7CNlyg18staN,False,,AutoID_yg18staN,,Missing conversation,Control,8.0,0.0,0.0,Session 1,1732762620.0
245,R_8OZracgEpS49sLU,True,6748614a-0b18-800c-bf63-bc944421acf4,Generated_28112024_1325,PromptData,Recovered from promptdata,AI-guided,6.0,10.0,16.328178350130717,Session 1,1732770000.0
246,R_8EiQBhFFtzeUVYX,True,674da63b-5af4-800e-8caa-863c771b0472,Generated_02122024_1321,PromptData,Recovered from promptdata,AI-guided,5.0,22.0,10.960678696632383,Unknown Session,1733112600.0
247,R_2CU9FSlQcMasje1,False,,,,No conversation data,AI-guided,5.0,0.0,0.0,,
248,R_2b2zGNnik1EBlct,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
249,R_2d1cJl2Z7qW7UvH,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
250,R_2tePetn1S9nNGlb,True,674f4317-c830-8008-a1af-6abdffb1b9de,,Timestamp,Complete,AI-guided,7.0,70.0,0.0,Unknown Session,1733207820.0
251,R_8ZPp5KrTrfpshfo,True,674f01a0-7578-8010-ba47-7fe2dd5b82c4,Generated_03122024_1403,PromptData,Recovered from promptdata,AI-guided,9.0,18.0,8.402045019467671,Unknown Session,1733212380.0
252,R_2qe5kzzAxCwDZ8R,True,674edc43-cd40-8005-a9b1-8059d74b6ddd,Generated_03122024_1124,PromptData,Recovered from promptdata,AI-guided,6.0,2.0,0.0220257480939229,Unknown Session,1733216880.0
253,R_2MlncIFkGiOjvu9,True,674efe79-840c-8001-90d5-887c4d79676c,Generated_03122024_1350,PromptData,Recovered from promptdata,AI-guided,7.0,28.0,15.451652566591898,Unknown Session,1733221500.0
254,R_8JbliQyjtwbbfzU,False,,,,No conversation data,AI-guided,6.0,0.0,0.0,,
255,R_2mttwHpj0uQAEuF,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
256,R_2yLwTYriUnyI06Z,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
257,R_2J1L8Hs8sa1DRUY,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
258,R_8KxrmcFnsbJgpIl,True,67506550-fd24-8008-83e4-989c090969d0,Generated_04122024_1521,PromptData,Recovered from promptdata,AI-guided,9.0,2.0,0.5053979992866516,Unknown Session,1733298960.0
259,R_2HIziCvvmMkEbhD,True,67504251-2c10-8007-8d35-5cafaeaca939,Generated_04122024_1251,PromptData,Recovered from promptdata,AI-guided,10.0,8.0,2.655346981684367,Unknown Session,1733303400.0
260,R_2GNYBaTQr1P83T7,True,675063f6-f51c-8001-86e1-3980abfcd04d,,RecoveredData,Recovered,AI-guided,8.0,0.0,0.0,Unknown Session,1733307600.0
261,R_8k5UluM1dMa3s3v,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
262,R_8t3lx2VeEtdJqGR,True,6751d893-bdb8-8008-9e82-33a3cb5e1faa,,Timestamp,Duplicate,AI-guided,9.0,9.0,0.0,Unknown Session,1733385240.0
263,R_8US7QTbGQ3rfkyJ,True,67518263-de38-8007-b0dc-7bd43af05201,Generated_05122024_1137,PromptData,Recovered from promptdata,AI-guided,8.0,6.0,1.1265464504559837,Unknown Session,1733390160.0
264,R_8v7Z7xFIRB5pnoZ,False,,AutoID_IRB5pnoZ,,Missing conversation,Control,6.0,0.0,0.0,Session 1,1732762620.0
265,R_2s1tFz3SFNk5sIG,True,67486110-e1e0-8012-a588-e06edc3812fd,Generated_28112024_1324,PromptData,Recovered from promptdata,AI-guided,8.0,36.0,16.485753150780997,Session 1,1732770000.0
266,R_8ySWQdIkGNZljMt,False,,,,No conversation data,AI-guided,4.0,0.0,0.0,,
267,R_80W9fsTDlF9qwE1,True,674ed8e6-dbf0-8005-9f2e-27ae1184720c,,Timestamp,Duplicate,AI-guided,5.0,35.0,0.0,Unknown Session,1733192760.0
268,R_2kqgOLlf0HMpEyZ,True,674f01f4-f358-800c-b30e-c1a248c02133,,Timestamp,Complete,AI-guided,9.0,15.0,0.0,Unknown Session,1733199180.0
269,R_2WOmr3gowlySP4v,True,674f2385-86e0-8009-b2a7-77faa572cdbb,,Timestamp,Duplicate,AI-assisted,9.0,19.0,0.0,Unknown Session,1733203260.0
270,R_8LdU8fiXeyqOnOh,False,,,,No conversation data,AI-guided,12.0,0.0,0.0,,
271,R_8sRy0BneNZqiLG3,True,674eee23-076c-8010-b208-c81bf28ab968,Generated_03122024_1240,PromptData,Recovered from promptdata,AI-guided,7.0,20.0,10.645281398296357,Unknown Session,1733212380.0
272,R_2tvddtksLge3ALn,True,674f446a-adb8-8012-b8cb-6fc1d66e7443,Generated_03122024_1848,PromptData,Recovered from promptdata,AI-guided,7.0,72.0,21.35866621732712,Unknown Session,1733216880.0
273,R_8TB22WcgsuXNtvb,True,674f481d-4fd8-8001-9778-b89ea4a08db9,Generated_03122024_1904,PromptData,Recovered from promptdata,AI-guided,4.0,2.0,0.0104165474573771,Unknown Session,1733221500.0
274,R_2h6pjap0QjtdTwV,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
275,R_2GEvnGWqrzZ7Usb,False,,,,No conversation data,AI-guided,6.0,0.0,0.0,,
276,R_2Lt9kN9TBEWGxxW,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
277,R_8ouIEiQjUI8dAYF,True,675077c2-e1a4-8012-b35e-82103ba1f58f,,Timestamp,Duplicate,AI-guided,12.0,7.0,0.0,Unknown Session,1733294160.0
278,R_2sfpEnYBYRgHDCV,True,675097e0-5a04-800e-9ed5-cb59ae18a187,,Timestamp,Duplicate,AI-guided,6.0,33.0,0.0,Unknown Session,1733298960.0
279,R_8LvXTcwwPYbpLs7,True,675099a5-2d78-8005-8f31-6b42411da49d,Generated_04122024_1904,PromptData,Recovered from promptdata,AI-guided,8.0,12.0,3.2772671500841777,Unknown Session,1733303400.0
280,R_8wRCUHLBX327QsX,True,67505184-09ac-8001-a0a8-1651c3a57292,,RecoveredData,Recovered,AI-guided,9.0,0.0,0.0,Unknown Session,1733307600.0
281,R_8kRBH9jzXs7sOeT,True,6751c410-6dbc-8008-8b11-eddcaeeab736,,Timestamp,Duplicate,AI-guided,8.0,25.0,0.0,Unknown Session,1733366400.0
282,R_8uwcMjXdaLIAXtH,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
283,R_2BrZk8otzM26jzV,True,67518231-6c00-8005-adea-30729bd24064,Generated_05122024_1136,PromptData,Recovered from promptdata,AI-guided,10.0,6.0,0.8554320494333904,Unknown Session,1733390160.0
284,R_8U4OqbqDVvcun6h,False,,,,No conversation data,Control,7.0,0.0,0.0,,
285,R_8OrTyyQxUapiN2h,True,6748628a-b840-8008-9a30-c50cd377cdb2,Generated_28112024_1331,PromptData,Recovered from promptdata,AI-guided,6.0,23.0,10.574093782901764,Session 1,1732770000.0
286,R_8l4wamITs56Z31X,True,674da7bf-9a08-8002-8554-d288839a3385,Generated_02122024_1327,PromptData,Recovered from promptdata,AI-guided,9.0,7.0,9.010344386100767,Unknown Session,1733112600.0
287,R_21QQA4gsTwDL8Oa,True,674eed2c-3014-8005-bb36-5940bcaee158,,Timestamp,Duplicate,AI-guided,9.0,18.0,0.0,Unknown Session,1733192760.0
288,R_8Brl5m8V7tsg6vo,False,,,,No conversation data,AI-guided,10.0,0.0,0.0,,
289,R_8rJsiVt13ocLYLr,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
290,R_8jGTfGfCZMDgn5r,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
291,R_8zkeKq8Eswo6WGC,True,674eda4e-41c0-8010-9583-36e64d4c1fba,Generated_03122024_1115,PromptData,Recovered from promptdata,AI-guided,6.0,74.0,16.697689100106558,Unknown Session,1733212380.0
292,R_89Bwlcx2XpOk3Pb,True,674f3329-4194-8012-9a83-547749411f84,Generated_03122024_1734,PromptData,Recovered from promptdata,AI-guided,,45.0,22.58985943396886,Unknown Session,1733216880.0
293,R_28Yz257ZTozADM5,True,674f1596-5170-8001-a641-2b53debd296a,Generated_03122024_1528,PromptData,Recovered from promptdata,AI-guided,5.0,6.0,1.2843530178070068,Unknown Session,1733221500.0
294,R_81F7KCNY6085wDj,False,,,,No conversation data,AI-guided,6.0,0.0,0.0,,
295,R_29tB2dlYXkT5MyL,False,,,,No conversation data,AI-guided,6.0,0.0,0.0,,
296,R_2G7kNiSuVC0gFNF,True,67506427-d04c-8005-a90b-df5f03b04cdb,,Timestamp,Duplicate,AI-guided,10.0,5.0,0.0,Unknown Session,1733290020.0
297,R_8M0DciwiR7b5M6s,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
298,R_2TXE0BIgESmAg4J,True,67502faa-4a14-8008-bc6e-3a8c165294e2,Generated_04122024_1132,PromptData,Recovered from promptdata,AI-guided,8.0,32.0,11.736253150304158,Unknown Session,1733298960.0
299,R_8nVEHB67txukLji,True,6750843d-fb48-8005-b676-24fdb8bae34a,Generated_04122024_1733,PromptData,Recovered from promptdata,AI-guided,5.0,24.0,12.717936317125956,Unknown Session,1733303400.0
300,R_8dFnCdNrlYAiGQN,True,67508449-da24-8001-8e65-69fc231fc334,Generated_04122024_1733,PromptData,Recovered from promptdata,AI-guided,8.0,6.0,2.0141573508580524,Unknown Session,1733307600.0
301,R_81imI65RUXaZ7mO,False,,,,No conversation data,AI-guided,10.0,0.0,0.0,,
302,R_8ANDNswAT4iIZEM,False,,,,No conversation data,AI-guided,11.0,0.0,0.0,,
303,R_2s0jCpGmfrwMVRG,True,6751d75b-6688-8005-9e2e-663ac5ab1267,Generated_05122024_1739,PromptData,Recovered from promptdata,AI-guided,9.0,36.0,14.72913784980774,Unknown Session,1733390160.0
304,R_8erc40ZIIJPGJBb,False,,,,No conversation data,Control,6.0,0.0,0.0,,
305,R_8l8rj2ZfctcRxS1,False,,AutoID_fctcRxS1,,Missing conversation,AI-guided,8.0,0.0,0.0,Session 1,1732770000.0
306,R_2djYqncKQ1NPSql,False,,,,No conversation data,AI-guided,10.0,0.0,0.0,,
307,R_2Hp64jFL9wJvilV,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
308,R_2Xd4pFj9nmxW5rP,True,674f0313-1700-800c-bc01-d49531b1e15f,,Timestamp,Duplicate,AI-guided,10.0,17.0,0.0,Unknown Session,1733199180.0
309,R_8qZNxbCUXfX5uZd,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
310,R_2Q4cXuEFPOgDtCx,True,674f332c-0608-800e-ae47-f592b3f98463,,Timestamp,Duplicate,AI-guided,7.0,31.0,0.0,Unknown Session,1733207820.0
311,R_8g0k8alCGahCRUv,True,674da571-906c-8010-9401-3ca592632661,Generated_02122024_1317,PromptData,Recovered from promptdata,AI-guided,9.0,18.0,13.78477616707484,Unknown Session,1733212380.0
312,R_2zvTybBZhdWqfbn,True,674f235d-f22c-8012-b608-dfed00500a43,Generated_03122024_1627,PromptData,Recovered from promptdata,AI-guided,9.0,26.0,11.11222779750824,Unknown Session,1733216880.0
313,R_2Gq9nu4Iz7SYYvr,True,674f3266-1208-8001-8790-f92390f883fd,Generated_03122024_1731,PromptData,Recovered from promptdata,AI-guided,8.0,42.0,23.34622170130412,Unknown Session,1733221500.0
314,R_8EYhHkjj1K1otSS,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
315,R_2cwuA0dZMK8JLG4,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
316,R_8lDhkLwdj59GguK,True,67506442-172c-8012-af63-0e6464fdff16,,Timestamp,Duplicate,AI-guided,6.0,26.0,0.0,Unknown Session,1733290020.0
317,R_2i4BvnbUZszNLY7,True,67507929-12a4-8007-9271-e35991cffe5b,,Timestamp,Duplicate,AI-guided,6.0,7.0,0.0,Unknown Session,1733294160.0
318,R_2MhrqRpSQZBTAnu,True,675098b3-5d34-8012-af9c-ce0348264320,,Timestamp,Duplicate,AI-guided,9.0,19.0,0.0,Unknown Session,1733298960.0
319,R_215kHwAnB8Gvxmg,True,67507287-e5a0-8005-af63-fd44550944d6,Generated_04122024_1617,PromptData,Recovered from promptdata,AI-guided,4.0,4.0,0.1156442006429036,Unknown Session,1733303400.0
320,R_8aks8yiJmGUThm7,True,675073d1-b904-8001-91a8-be0865d0f1de,Generated_04122024_1622,PromptData,Recovered from promptdata,AI-guided,9.0,16.0,13.201959665616354,Unknown Session,1733307600.0
321,R_82ssQEqyCSQAn63,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
322,R_2J258SlZzwjxPdT,False,,,,No conversation data,AI-guided,8.0,0.0,0.0,,
323,R_2e4c3rxUN7f4BRO,True,6751c74d-e404-8005-885f-89f319b7432f,Generated_05122024_1631,PromptData,Recovered from promptdata,AI-guided,6.0,10.0,8.475988248984018,Unknown Session,1733390160.0
324,R_8i8xRKC1xV0RVTa,False,,,,No conversation data,Control,8.0,0.0,0.0,,
325,R_2ZjfFtiqQ7IgVGx,False,,AutoID_qQ7IgVGx,,Missing conversation,AI-guided,8.0,0.0,0.0,Session 1,1732770000.0
326,R_8G1eecQHGlKadmP,True,674da26a-cec8-8008-85a4-ebe6eeff4476,,Timestamp,Duplicate,AI-guided,10.0,19.0,0.0,Unknown Session,1733112540.0
327,R_80UGQbaGQq1CHhD,False,,,,No conversation data,AI-assisted,6.0,0.0,0.0,,
328,R_2BsKNaoNdDgz8j8,False,,,,No conversation data,AI-guided,10.0,0.0,0.0,,
329,R_8l4EJcdUD1yOCw9,True,674f45cf-cab0-8009-aad7-11d49823384c,Generated_03122024_1854,PromptData,Recovered from promptdata,AI-guided,,30.0,21.35377921660741,Unknown Session,1733212380.0
330,R_2PdB73Bd0cNA4r7,True,674f0e3a-b8dc-8012-aa78-aff7a8827b1e,Generated_03122024_1457,PromptData,Recovered from promptdata,AI-guided,7.0,34.0,17.965944600105285,Unknown Session,1733216880.0
331,R_2rV4lAz5iMxlo2J,True,674f2301-a09c-8001-8993-73e9955a02fc,Generated_03122024_1625,PromptData,Recovered from promptdata,AI-guided,10.0,20.0,11.35114961862564,Unknown Session,1733221500.0
332,R_8s5NqLlJDyiJgaC,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
333,R_8mrWMslvG5iVquJ,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
334,R_237cpNUtCicNYgS,False,,,,No conversation data,AI-guided,10.0,0.0,0.0,,
335,R_8Nxp8Voq8SurVmh,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
336,R_8vdr5UcOkD9CHCN,True,675084c9-3fb4-8008-b912-57ae483321b2,Generated_04122024_1735,PromptData,Recovered from promptdata,AI-guided,8.0,28.0,16.565380382537843,Unknown Session,1733298960.0
337,R_2WZuiPRmZOrqqCl,True,67506358-10c4-8005-992a-5488573a491b,Generated_04122024_1512,PromptData,Recovered from promptdata,AI-guided,11.0,24.0,8.871272683143616,Unknown Session,1733303400.0
338,R_8mPI9XM8DoyviL0,False,,,,No conversation data,AI-guided,9.0,0.0,0.0,,
339,R_2njA5H4OXQruxIk,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
340,R_2nCP6fCz6BaiK4V,True,6751d766-46d8-8012-a5d7-70aacb11a52a,Generated_05122024_1740,PromptData,Recovered from promptdata,AI-guided,10.0,16.0,8.496240317821503,Unknown Session,1733390160.0
341,R_2rOM9wY7Br7zc11,True,674d880c-90c8-8001-ad79-3208e14e8928,,RecoveredData,Recovered,AI-guided,5.0,0.0,0.0,Unknown Session,1733122680.0
342,R_28af9XybaRsflvj,False,,,,No conversation data,Control,13.0,0.0,0.0,,
343,R_277rwFq7rk8deCB,False,,AutoID_7rk8deCB,,Missing conversation,AI-guided,7.0,0.0,0.0,Session 1,1732770000.0
344,R_87VUvGxjk4fDIkx,True,674da645-4518-8001-9cef-a87cd1b4a1f0,,RecoveredData,Recovered,AI-guided,9.0,0.0,0.0,Unknown Session,1733112900.0
345,R_2NsubXR8LhZD6LH,True,674ed886-f6f0-8008-b44b-bf331b817fa5,,Timestamp,Duplicate,AI-guided,7.0,5.0,0.0,Unknown Session,1733192760.0
346,R_82XByP9JAwidnaU,False,,,,No conversation data,AI-guided,5.0,0.0,0.0,,
347,R_8nI6pazFjmkAiUq,False,,,,No conversation data,AI-assisted,6.0,0.0,0.0,,
348,R_2qgGc6F49e3lQC2,True,674f3477-b710-8005-adb3-8f50050a247a,,Timestamp,Duplicate,AI-guided,9.0,22.0,0.0,Unknown Session,1733207820.0
